production_date,machine_id,employee_id,product_id,shift_id,units_produced,defective_units,production_hours
2023-12-03,48,118,10,3,165,6,7.4
2025-08-17,39,106,1,3,188,6,1.99
2026-02-15,95,285,3,1,153,2,1.63
2025-07-20,35,119,1,2,338,6,5.71
2023-08-10,80,225,15,1,539,12,4.3
2024-03-29,77,223,12,2,182,3,5.45
2024-09-15,98,271,11,1,1508,6,1.81
2025-07-18,74,217,3,2,87,2,5.69
2023-11-13,75,226,11,3,93,3,5.58
2023-03-09,84,226,10,3,276,8,3.59
2025-01-22,32,108,6,1,109,3,7.31
2024-01-24,8,31,17,2,55,1,7.64
2026-05-07,12,48,2,1,160,2,1.35
2023-05-21,17,42,15,3,867,15,2.45
2026-05-05,31,106,7,3,40,2,2.94
2023-12-24,17,40,15,1,412,7,5.63
2026-04-20,2,28,16,1,81,1,1.11
2025-12-13,17,53,15,3,416,11,6.22
2025-07-14,48,117,13,3,228,7,2.55
2025-07-27,92,278,13,1,165,4,1.43
2025-10-01,55,181,6,2,96,2,1.51
2026-04-13,83,217,6,2,200,2,5.99
2025-07-18,82,229,17,3,189,2,5.24
2025-05-30,98,265,15,2,1424,15,7.22
2023-07-14,62,179,15,1,620,13,3.99
2025-06-03,49,94,13,2,697,3,6.21
2026-04-16,17,41,15,3,875,26,4.93
2024-08-12,56,176,3,3,116,1,3.19
2025-09-14,68,167,14,2,157,3,6.93
2024-07-24,77,224,1,1,443,8,2.58
2026-06-10,77,237,12,3,435,13,1.18
2024-01-05,97,270,1,2,1059,12,5.92
2024-01-07,45,107,5,2,96,2,4.96
2025-12-22,19,53,5,3,115,1,3.63
2024-10-26,21,29,17,2,81,1,7.18
2024-07-11,85,214,13,3,213,5,5.63
2024-03-17,60,180,13,3,412,5,1.8
2025-12-15,38,122,14,1,307,5,1.32
2024-02-23,82,214,5,3,137,3,7.62
2023-09-03,34,103,18,2,40,1,4.48
2025-10-21,17,30,15,1,872,32,6.83
2025-06-12,10,31,1,2,159,1,4.22
2026-03-20,42,121,15,3,714,18,5.97
2024-10-27,15,31,15,2,475,12,6.61
2025-06-13,97,273,3,2,716,10,2.7
2024-09-27,73,215,3,3,83,2,2.55
2025-12-22,10,38,1,2,411,9,2.36
2023-07-30,46,94,16,2,97,1,2.79
2023-12-29,20,47,6,1,186,3,4.25
2024-10-09,80,227,15,1,454,9,4.08
2026-04-26,86,222,17,3,615,6,3.46
2025-01-25,63,182,15,1,593,17,1.54
2025-11-04,12,45,12,1,346,6,4.24
2024-01-21,6,34,11,1,81,2,5.24
2024-12-04,8,34,6,1,50,0,4.53
2025-12-09,33,113,4,1,106,2,5.27
2024-11-23,38,109,14,2,176,3,6.52
2026-02-16,9,27,1,1,347,5,2.99
2024-11-13,92,281,2,1,191,2,5.08
2023-09-22,46,104,3,1,81,2,3.17
2023-07-11,44,93,1,3,168,1,4.56
2024-11-30,41,96,15,2,797,29,2.34
2023-07-27,20,10,17,3,189,4,6.4
2026-06-19,73,214,18,3,56,1,5.18
2025-06-15,24,50,14,3,111,2,3.88
2024-08-06,32,113,11,1,97,2,2.64
2026-03-14,64,166,15,3,751,17,4.23
2026-05-23,50,117,14,3,783,4,7.11
2023-07-30,65,177,1,1,192,3,6.96
2025-11-17,21,23,4,2,97,1,6.82
2023-02-24,30,113,18,1,93,2,1.37
2025-02-06,32,109,6,2,68,2,1.2
2023-10-09,91,272,2,1,169,4,3.01
2025-07-07,98,266,13,2,1760,10,1.04
2026-01-28,34,98,7,1,117,2,4.69
2023-09-07,38,100,13,3,174,2,2.67
2025-10-20,85,227,13,1,252,6,4.75
2025-05-29,79,220,2,1,150,1,5.3
2025-12-08,57,165,6,3,86,2,1.47
2025-08-20,68,186,13,2,111,4,5.45
2023-05-19,34,86,18,2,84,2,2.69
2023-10-01,14,43,13,3,172,2,3.47
2025-09-07,89,267,4,3,120,1,2.28
2024-02-17,62,156,15,2,344,10,6.54
2026-01-17,42,104,15,1,784,25,2.77
2023-04-08,25,24,10,3,321,6,5.59
2025-06-19,49,112,10,2,1291,9,3.37
2025-11-29,97,277,9,3,1046,22,6.61
2026-01-22,11,33,12,3,300,1,3.25
2025-07-02,92,271,13,1,368,7,2.17
2026-06-13,61,156,13,2,372,12,2.92
2025-01-14,8,10,3,3,105,2,6.61
2025-06-16,4,15,11,2,44,1,1.88
2025-02-23,89,273,18,2,112,1,1.23
2025-06-28,61,177,13,1,189,3,5.02
2024-05-26,54,174,17,2,54,1,1.18
2023-08-30,70,178,15,2,1036,17,6.42
2025-10-02,29,124,17,2,65,2,1.86
2023-06-29,61,165,14,3,313,6,5.67
2024-09-06,76,230,17,2,60,2,5.98
2025-11-07,87,218,9,2,959,7,1.85
2025-01-09,18,21,15,1,867,15,5.01
2023-06-26,76,217,11,2,48,2,3.17
2025-04-18,65,187,3,2,78,1,1.88
2025-11-25,10,34,14,1,326,7,1.9
2024-01-08,76,233,11,3,56,2,4.03
2023-11-10,8,13,10,1,78,1,2.15
2024-08-04,30,107,10,2,50,1,2.75
2024-09-12,76,221,7,3,118,3,4.73
2023-11-12,22,43,2,3,103,3,5.61
2026-03-27,83,223,2,2,127,2,5.56
2026-01-22,57,155,4,2,77,2,5.49
2025-07-17,33,110,17,3,49,1,5.82
2024-02-22,57,184,4,3,83,2,5.25
2023-09-25,42,107,15,2,679,9,4.6
2024-07-01,32,114,6,2,97,1,2.74
2025-05-06,39,109,12,2,277,9,7.74
2024-01-24,43,121,15,3,463,14,4.49
2023-02-17,67,173,11,2,123,4,7.62
2024-12-23,32,98,11,1,46,1,1.35
2024-08-08,91,283,14,2,424,2,1.06
2025-04-05,18,22,15,1,674,7,1.32
2026-02-07,77,219,13,1,297,5,1.51
2026-06-05,76,221,11,3,55,1,1.9
2025-01-18,49,106,15,3,795,7,2.39
2025-08-28,68,156,13,2,232,6,4.2
2026-06-09,69,162,8,2,1152,46,2.14
2025-11-04,40,122,15,1,821,20,4.73
2025-01-24,40,115,15,3,639,21,5.72
2026-05-07,80,222,15,3,785,17,2.86
2023-04-16,80,231,15,1,897,20,4.36
2024-05-11,85,237,11,3,108,3,5.01
2024-10-04,25,7,11,2,207,6,2.06
2025-08-23,56,186,11,2,47,1,5.94
2025-12-12,77,223,14,2,342,5,3.2
2024-12-26,74,223,10,2,73,1,5.27
2024-09-03,33,102,10,1,68,3,7.59
2024-10-11,38,98,14,1,395,10,3.44
2026-03-20,37,103,1,2,428,13,3.66
2023-03-28,46,94,17,2,133,1,7.69
2024-03-14,60,170,14,2,253,2,6.8
2023-10-09,77,235,13,2,205,5,5.31
2024-04-07,33,88,10,1,69,1,1.37
2023-01-11,64,160,15,1,863,18,7.85
2024-02-13,91,277,14,3,297,5,3.25
2024-04-20,12,47,12,1,423,8,6.17
2023-12-27,5,17,3,1,44,1,7.98
2023-03-18,67,165,10,3,102,4,3.09
2026-01-17,44,103,4,2,194,6,4.46
2025-07-28,68,183,10,1,265,4,2.8
2024-01-31,45,103,2,2,104,3,5.28
2024-11-02,55,181,10,2,51,1,3.81
2024-05-23,18,36,15,1,306,5,2.83
2026-04-07,36,106,13,3,443,8,1.08
2023-08-31,97,269,2,3,1453,9,3.15
2026-06-12,68,173,13,2,156,3,2.53
2025-02-04,20,35,2,2,166,5,5.91
2024-05-21,74,238,16,2,116,2,7.11
2023-06-09,61,187,13,2,438,10,1.79
2025-12-01,68,166,14,3,213,3,1.81
2025-11-11,80,228,15,2,756,11,6.66
2026-02-28,69,180,12,3,618,16,4.91
2024-06-05,41,86,15,2,303,6,6.22
2023-05-11,6,33,18,3,109,4,7.96
2024-08-10,9,36,1,1,359,3,2.26
2025-02-05,89,285,3,1,88,3,4.14
2026-01-09,50,109,3,2,772,7,5.57
2025-12-19,23,40,11,1,132,2,6.1
2025-08-06,1,7,17,2,109,3,3.97
2024-12-09,31,100,4,3,59,2,2.93
2026-06-13,15,8,15,1,316,7,2.68
2026-05-09,82,214,4,3,72,1,2.71
2024-03-20,60,168,12,2,178,5,1.98
2026-03-28,31,121,18,3,116,4,6.41
2025-12-03,32,104,7,1,68,1,3.89
2023-12-25,77,243,12,2,368,4,4.89
2024-10-14,46,109,1,2,166,4,3.86
2024-05-08,24,40,11,1,317,9,2.58
2026-02-25,19,35,5,2,165,3,7.77
2024-06-06,18,30,15,1,508,8,3.31
2026-01-01,61,177,1,1,247,3,1.36
2026-04-18,83,232,5,3,115,3,4.36
2024-03-09,44,104,5,1,108,1,7.73
2024-02-23,65,169,2,2,161,3,7.41
2025-12-28,38,109,14,2,333,6,3.16
2025-08-19,67,183,13,1,294,12,6.88
2026-02-26,49,105,11,1,953,4,6.19
2026-04-01,76,242,11,2,93,2,3.07
2024-05-18,31,109,11,2,103,4,4.85
2025-10-01,45,101,4,2,177,5,2.18
2025-09-27,22,14,1,2,107,3,7.42
2023-03-11,89,263,10,1,49,1,7.62
2024-04-18,1,32,7,2,48,1,5.95
2026-06-19,68,183,10,1,263,6,5.67
2023-01-14,65,185,5,3,196,2,4.86
2026-01-02,73,236,17,2,76,2,1.12
2025-12-09,95,275,7,1,98,2,2.69
2025-03-23,34,107,17,2,50,1,3.61
2024-09-06,78,220,2,1,191,5,5.58
2025-02-15,5,11,3,1,88,1,4.87
2025-10-20,2,50,7,3,95,1,5.51
2024-04-15,13,39,1,2,258,6,7.31
2023-04-06,78,228,13,2,188,2,5.79
2024-01-03,75,231,5,1,80,2,1.11
2026-02-28,19,51,3,1,121,3,4.97
2025-02-25,95,279,18,1,95,2,6.53
2025-06-14,11,38,13,2,268,2,6.87
2024-10-30,84,243,11,2,107,3,5.44
2024-12-29,61,185,2,3,433,6,7.59
2026-06-20,96,280,11,1,175,4,6.59
2025-06-29,11,23,2,2,334,2,6.33
2025-07-08,12,17,14,1,435,5,4.88
2026-02-09,4,11,18,1,51,1,5.18
2025-04-27,53,154,17,1,89,2,6.45
2026-03-17,77,241,2,2,416,8,2.19
2024-07-03,18,23,15,2,804,12,2.02
2025-09-18,37,111,13,3,189,6,3.53
2026-06-16,86,228,20,2,900,8,4.21
2026-06-24,1,31,18,2,88,2,6.63
2023-10-06,44,112,2,2,136,4,3.24
2023-12-30,26,36,8,1,1315,17,7.78
2026-03-25,97,282,13,3,996,12,3.28
2026-02-28,54,177,6,1,65,2,5.15
2025-08-03,96,279,13,1,341,7,5.96
2025-10-19,39,89,14,2,221,3,5.43
2025-02-11,92,266,14,2,187,5,4.14
2026-01-18,80,225,15,1,337,6,6.54
2023-08-12,74,232,6,3,71,1,5.6
2026-02-27,89,281,5,1,91,1,7.77
2023-07-21,59,160,1,1,282,6,2.55
2024-03-28,77,231,12,1,378,8,3.62
2024-12-07,95,280,1,1,66,1,4.38
2025-07-21,11,13,2,1,255,3,4.65
2024-10-15,13,34,14,1,184,4,3.1
2023-08-12,15,7,15,2,468,15,7.51
2023-11-24,70,165,15,3,1177,29,4.92
2024-01-17,31,110,7,3,95,2,3.77
2025-05-29,26,34,19,1,1296,15,1.03
2023-07-28,37,89,12,2,424,5,2.31
2025-09-29,62,161,15,3,840,14,7.76
2024-12-13,53,179,11,1,85,1,6.92
2026-06-12,95,284,17,3,81,1,5.7
2024-01-10,32,104,6,1,87,2,5.85
2025-02-24,57,162,11,2,94,3,2.3
2026-02-10,97,282,6,3,841,9,4.43
2025-01-05,42,113,15,1,309,5,4.39
2025-10-10,53,189,10,2,92,1,5.79
2023-06-19,60,185,2,3,439,9,1.22
2024-04-05,39,87,13,1,425,11,3.02
2026-01-30,78,236,14,2,411,7,1.79
2026-01-15,75,239,18,2,45,1,6.32
2024-05-21,29,112,6,2,78,1,7.12
2025-06-18,35,107,1,2,210,2,6.43
2026-06-03,81,235,15,2,738,14,2.16
2026-03-13,27,19,2,1,1218,19,4.73
2024-08-15,22,26,17,2,128,3,7.67
2025-04-22,95,265,7,2,75,2,7.95
2024-05-26,17,50,15,3,449,14,5.98
2026-03-28,95,274,4,2,128,2,5.39
2025-04-05,10,46,1,1,413,7,6.25
2024-11-01,49,114,13,2,1691,27,1.02
2025-01-03,12,52,14,2,182,2,6.57
2024-07-03,58,167,14,2,315,2,6.8
2025-09-20,79,217,12,2,325,5,7.26
2023-02-03,6,12,4,1,55,1,7.51
2024-02-19,62,154,15,1,435,8,7.18
2024-05-27,37,90,13,3,192,5,3.6
2024-09-17,22,9,3,1,119,2,4.0
2025-09-03,13,6,2,3,189,4,1.93
2025-05-14,96,276,13,3,277,5,1.93
2024-10-03,53,159,6,1,87,1,7.17
2025-12-22,18,47,15,1,876,18,1.06
2023-11-07,60,176,2,3,360,4,5.31
2023-10-14,29,90,6,3,55,1,5.13
2024-05-22,58,174,2,2,291,3,5.51
2024-08-06,82,232,2,3,66,1,6.94
2025-03-13,40,98,15,1,602,17,5.52
2023-08-19,32,116,3,2,70,1,4.5
2025-01-09,73,241,5,2,80,2,1.92
2026-01-23,78,226,13,3,238,8,6.34
2023-05-19,10,7,12,2,157,1,2.84
2024-08-09,8,31,10,2,120,2,5.99
2026-01-03,58,179,1,1,425,3,5.31
2023-11-15,41,90,15,3,849,17,3.29
2024-09-27,91,283,1,2,373,7,6.11
2025-06-08,8,21,6,1,54,1,4.17
2023-10-09,41,96,15,2,311,9,2.15
2023-12-08,70,187,17,2,1261,23,1.89
2024-11-17,36,92,1,3,369,4,2.9
2025-10-13,79,233,1,3,383,2,4.58
2023-11-19,78,218,13,2,280,7,6.41
2024-04-12,95,285,6,1,190,5,1.02
2025-08-24,2,21,5,1,86,1,3.68
2024-04-04,5,41,3,3,81,2,2.74
2026-03-16,42,102,15,1,681,20,1.84
2025-11-22,7,17,16,1,45,1,7.68
2024-11-01,63,172,15,1,388,4,4.87
2024-09-14,26,24,19,3,1775,17,2.7
2023-11-05,67,166,14,3,101,2,7.53
2024-11-17,75,224,5,1,40,1,6.31
2025-12-21,41,91,15,2,543,19,3.94
2026-04-04,19,51,17,1,84,1,4.54
2026-03-08,54,158,11,1,47,2,4.04
2024-10-07,32,103,17,2,90,2,5.91
2024-04-23,42,113,15,1,376,5,7.6
2023-08-05,80,216,15,3,468,8,4.15
2024-03-01,16,40,15,1,762,11,3.16
2024-09-15,16,11,15,1,341,10,2.51
2026-02-12,19,11,16,1,200,2,2.75
2024-03-31,18,13,15,1,433,9,2.39
2026-04-07,96,282,13,3,250,8,2.81
2025-06-27,3,10,16,3,56,2,1.64
2025-08-02,44,92,5,3,72,1,2.18
2025-02-22,54,185,5,3,94,2,2.21
2025-07-02,24,23,10,2,326,10,2.04
2025-10-18,84,220,10,1,205,6,7.18
2023-10-09,12,23,14,2,364,8,2.4
2023-02-09,73,220,10,1,88,1,6.47
2024-12-05,75,238,4,2,112,3,4.52
2026-05-07,24,7,10,2,156,6,1.21
2025-12-20,37,88,14,1,333,10,6.37
2024-05-08,21,12,16,1,128,4,4.74
2025-03-06,8,20,11,3,85,3,7.55
2026-04-28,23,17,14,1,181,5,6.64
2026-03-08,81,213,15,3,877,30,1.99
2023-12-26,67,188,10,2,225,6,1.27
2025-12-14,83,220,5,1,182,4,1.0
2023-12-30,26,14,8,2,1162,10,1.42
2026-04-15,19,13,1,1,85,1,3.36
2025-09-24,21,52,3,2,141,4,2.22
2024-04-02,97,281,9,1,1706,17,6.7
2023-12-30,97,271,5,1,503,12,7.64
2026-05-18,54,156,7,2,80,3,7.45
2023-08-02,30,125,11,3,103,3,1.98
2023-12-10,32,107,18,2,51,1,6.75
2024-06-27,44,113,5,1,113,1,2.75
2023-04-09,34,91,5,2,89,2,4.07
2025-02-14,22,32,4,2,149,3,4.82
2025-07-13,65,168,7,2,78,1,6.59
2023-08-03,3,26,17,2,49,1,3.39
2026-01-25,21,52,6,2,83,3,3.37
2023-12-04,65,155,3,2,171,2,2.1
2026-02-08,27,18,11,1,1606,20,2.86
2025-03-15,32,91,5,2,113,3,4.85
2025-05-25,7,29,5,2,51,1,3.06
2023-07-18,82,228,16,2,66,1,2.45
2025-03-25,11,36,1,1,391,7,4.42
2025-03-04,12,47,12,1,244,2,3.6
2024-06-23,24,34,13,1,212,4,4.26
2023-11-06,36,121,1,3,199,2,1.6
2024-04-10,75,226,11,3,110,3,1.43
2025-08-30,70,180,15,3,1672,23,7.17
2025-10-25,11,31,1,2,442,7,7.3
2025-07-08,95,281,7,1,104,1,7.64
2023-03-29,29,97,7,3,94,2,1.55
2026-05-03,26,46,5,1,1028,23,3.24
2026-02-13,9,11,14,1,353,7,4.86
2026-06-30,70,183,1,1,1703,18,4.66
2026-03-06,57,163,7,1,115,4,5.08
2023-07-26,13,12,12,1,296,8,7.07
2025-09-21,56,170,3,2,113,1,5.26
2026-06-20,37,110,2,3,355,11,1.27
2025-08-31,44,100,5,3,128,1,7.28
2025-10-03,40,104,15,1,400,7,7.81
2024-07-05,40,113,15,1,726,10,5.23
2025-09-19,60,167,14,2,414,7,7.07
2024-09-29,69,164,3,2,1537,34,3.82
2023-03-01,73,241,11,2,62,2,2.35
2025-07-23,8,21,5,1,46,1,7.43
2025-10-31,37,108,14,1,353,4,5.45
2025-09-28,4,21,18,1,116,4,4.12
2024-12-06,64,189,15,2,467,11,6.86
2023-02-26,97,264,18,2,1291,21,1.35
2024-02-28,29,99,16,2,74,1,5.56
2026-05-16,96,262,11,1,305,5,1.06
2025-02-10,41,102,15,1,657,11,4.21
2026-04-12,40,118,15,3,404,17,1.05
2026-06-01,49,120,20,2,1078,2,3.09
2024-10-27,9,27,13,1,291,4,2.83
2023-11-04,91,271,2,1,414,9,6.36
2023-10-14,82,225,18,1,66,2,5.59
2025-03-06,35,111,14,3,168,5,5.08
2025-12-30,25,27,14,1,263,8,6.49
2023-12-15,94,273,15,2,871,10,2.27
2026-02-18,17,53,15,3,487,17,7.63
2024-12-28,91,264,2,2,264,2,6.21
2026-04-14,44,108,17,1,135,2,4.25
2026-04-03,7,46,11,1,119,4,1.5
2025-12-21,68,161,11,3,176,6,3.89
2024-12-02,20,14,16,2,164,4,7.91
2024-01-05,62,163,15,1,382,8,4.41
2023-01-10,23,26,13,2,215,6,2.91
2025-09-29,22,42,7,3,82,2,1.91
2025-09-04,58,179,14,1,346,4,1.03
2025-12-23,49,85,8,1,890,0,1.13
2024-10-01,33,99,18,2,56,1,1.72
2023-04-04,41,95,15,3,605,12,7.64
2025-06-07,70,187,8,2,774,20,3.4
2025-04-06,47,97,14,3,104,3,2.6
2026-04-22,17,19,15,1,816,21,2.18
2024-06-07,91,263,14,1,423,5,5.36
2023-02-10,7,48,6,1,46,1,5.83
2025-12-01,50,92,15,3,1052,15,5.36
2026-06-19,57,160,10,1,55,2,2.98
2024-06-22,67,166,14,3,312,8,4.66
2026-01-27,56,172,7,1,103,2,7.37
2023-01-06,65,175,16,3,63,1,5.7
2025-11-13,79,234,14,2,188,1,6.06
2024-08-29,34,99,4,2,73,1,4.25
2025-01-07,23,8,10,1,305,7,5.74
2023-01-20,15,12,15,1,441,9,5.64
2023-07-10,47,113,10,1,195,4,6.7
2024-07-10,55,179,4,1,89,2,5.83
2023-09-29,57,164,6,2,47,1,7.87
2025-09-15,14,32,12,2,441,4,5.75
2025-12-10,50,107,20,2,1680,9,6.07
2025-06-05,94,272,15,1,554,14,4.37
2026-02-17,89,274,7,2,118,2,1.38
2025-10-12,21,38,4,2,102,2,1.52
2023-04-14,32,106,17,3,104,2,2.56
2025-07-29,55,169,6,2,96,3,6.61
2023-09-01,67,182,10,1,227,5,6.22
2026-02-15,55,180,5,3,110,2,1.0
2024-09-15,83,243,2,2,190,3,4.94
2023-04-22,62,175,15,3,528,8,6.91
2025-01-14,85,232,11,3,283,5,4.17
2024-11-30,92,269,1,3,331,9,6.81
2025-02-04,39,120,12,2,204,3,1.32
2024-06-04,18,51,15,1,500,16,2.31
2024-01-26,54,167,4,2,83,1,1.75
2023-09-10,87,239,19,2,1422,17,4.2
2025-12-22,68,162,11,2,288,11,1.34
2026-03-30,80,228,15,2,477,5,6.11
2025-02-26,53,174,10,2,93,3,7.86
2024-12-03,33,102,3,1,77,2,4.17
2026-01-26,56,186,17,2,80,2,5.98
2024-03-05,86,219,7,1,1778,32,6.0
2025-10-28,95,266,7,2,198,3,5.86
2026-04-08,15,28,15,1,884,30,7.6
2024-08-08,95,285,1,1,168,3,6.66
2023-04-19,4,30,7,1,47,1,2.4
2023-10-27,21,24,17,3,75,1,5.83
2025-07-15,75,214,18,3,53,2,5.31
2026-02-23,77,240,2,2,349,10,2.66
2025-02-20,98,271,2,1,1293,18,3.92
2026-06-24,96,272,13,1,322,11,6.47
2026-04-20,30,125,18,3,109,2,6.17
2023-12-30,25,24,11,3,274,9,1.52
2023-03-25,69,161,10,3,1377,20,2.95
2023-01-12,21,43,17,3,144,4,4.26
2026-05-07,6,15,18,2,46,2,6.42
2026-03-18,92,271,14,1,431,11,3.51
2024-01-12,42,118,15,3,833,17,1.48
2025-04-06,57,188,10,2,51,2,3.45
2025-01-08,92,272,13,1,300,9,2.53
2023-01-19,73,228,10,2,54,1,5.68
2024-05-14,89,281,11,1,45,1,5.78
2026-01-11,15,30,15,1,589,18,1.17
2025-07-01,49,117,14,3,1496,33,1.31
